id,en,fr,status,ef,interval,repetitions,due
79,unemployed,au chômage,new,2.5,0,0,2025-10-26
80,Personal belongings,effet personnel,new,2.5,0,0,2025-10-26
81,Wish,souhait + to,new,2.5,0,0,2025-10-26
82,Close collaboration,collaboration étroite,new,2.5,0,0,2025-10-26
83,Premises,locaux,new,2.5,0,0,2025-10-26
84,Instead of,au lieu de,new,2.5,0,0,2025-10-26
85,Unforeseen,non prévue,new,2.5,0,0,2025-10-26
86,Call off,annuler,new,2.5,0,0,2025-10-26
87,Regarding,concernant,new,2.5,0,0,2025-10-26
88,Almost,presque,new,2.5,0,0,2025-10-26
89,Reach,atteindre,new,2.5,0,0,2025-10-26
90,Willing,prêt,new,2.5,0,0,2025-10-26
91,Applicants,candidat,new,2.5,0,0,2025-10-26
92,To be on time,être a l’heure,new,2.5,0,0,2025-10-26
93,Wonderful,merveilleux,new,2.5,0,0,2025-10-26
94,Succed,réussir + in,new,2.5,0,0,2025-10-26
95,Advertising agency,agence de publicité,new,2.5,0,0,2025-10-26
96,Otherwise,"sinon , autrement",new,2.5,0,0,2025-10-26
97,Label,étiquette,new,2.5,0,0,2025-10-26
98,Famous,célèbre,new,2.5,0,0,2025-10-26
99,Brands,marque,new,2.5,0,0,2025-10-26
100,Set up,s’installer,new,2.5,0,0,2025-10-26
101,Short term,court terme,new,2.5,0,0,2025-10-26
102,Sold out,épuiser (+of si équipement/objet),new,2.5,0,0,2025-10-26
103,Sued for,poursuivre en justice,new,2.5,0,0,2025-10-26
104,Pursued,poursuivre / suivre,new,2.5,0,0,2025-10-26
105,Clock in,pointer,new,2.5,0,0,2025-10-26
106,To have lunch,déjeuner,new,2.5,0,0,2025-10-26
107,Stressed out,stressé,new,2.5,0,0,2025-10-26
108,Churches,église,new,2.5,0,0,2025-10-26
109,Plenty,beaucoup / plus qu’assez,new,2.5,0,0,2025-10-26
110,First hand,experience / connaissance directe,new,2.5,0,0,2025-10-26
111,Helpful,utile,new,2.5,0,0,2025-10-26
112,Into,dans (verbe d’action),new,2.5,0,0,2025-10-26
113,Spend,dépenser,new,2.5,0,0,2025-10-26
114,Valuables,objet de valeur,new,2.5,0,0,2025-10-26
115,Handle,"poigné / gérer, faire face",new,2.5,0,0,2025-10-26
116,Appliances,appareils électroménagers,new,2.5,0,0,2025-10-26
117,Beyond,au dela,new,2.5,0,0,2025-10-26
118,Head,en avant,new,2.5,0,0,2025-10-26
119,Unexpected,inattendu,new,2.5,0,0,2025-10-26
120,Rising,hausse,new,2.5,0,0,2025-10-26
121,Falling,baisse,new,2.5,0,0,2025-10-26
122,Withdraw,retirer,new,2.5,0,0,2025-10-26
123,Grants,subvention,new,2.5,0,0,2025-10-26
124,Patents,brever,new,2.5,0,0,2025-10-26
125,Second hand,seconde main,new,2.5,0,0,2025-10-26
126,Appointed,Nommé,new,2.5,0,0,2025-10-26
127,Money laundering,blanchir l’argent,new,2.5,0,0,2025-10-26
128,Look forward to,attendre avec impatience,new,2.5,0,0,2025-10-26
129,Remote,distant,new,2.5,0,0,2025-10-26
130,King regards,cordialement,new,2.5,0,0,2025-10-26
131,Timetable,calendrier,new,2.5,0,0,2025-10-26
132,Timeline,chronologie,new,2.5,0,0,2025-10-26
133,Several,plusieurs,new,2.5,0,0,2025-10-26
134,Suitable,approprié,new,2.5,0,0,2025-10-26
135,Libelous claim,revendication calomnieuse,new,2.5,0,0,2025-10-26
136,Keen,passionnée,new,2.5,0,0,2025-10-26
137,Marks,marques (abimer),new,2.5,0,0,2025-10-26
138,Scratches,rayures,new,2.5,0,0,2025-10-26
139,Thought,à travers,new,2.5,0,0,2025-10-26
140,Get along,s’entendre (bonne relation),new,2.5,0,0,2025-10-26
141,Gather,rassembler,new,2.5,0,0,2025-10-26
142,Together,ensemble,new,2.5,0,0,2025-10-26
143,Weary,fatigué,new,2.5,0,0,2025-10-26
144,Bet,pari,new,2.5,0,0,2025-10-26
145,Proxy,mandataire,new,2.5,0,0,2025-10-26
146,Shareholders,actionnaires,new,2.5,0,0,2025-10-26
147,Amendment,modifications,new,2.5,0,0,2025-10-26
148,Foster,favoriser / adopter,new,2.5,0,0,2025-10-26
149,Fine,amende,new,2.5,0,0,2025-10-26
150,Unless,à moin que,new,2.5,0,0,2025-10-26
151,Out performing,surperformant,new,2.5,0,0,2025-10-26
152,Bid,offre,new,2.5,0,0,2025-10-26
153,Aloud,à haute voix,new,2.5,0,0,2025-10-26
154,Shortlisted,présélectionné,new,2.5,0,0,2025-10-26
155,Fare,tarification (pour service de transport),new,2.5,0,0,2025-10-26
156,Assets,actifs,new,2.5,0,0,2025-10-26
157,Ensurance,assurance (état d’esprit),new,2.5,0,0,2025-10-26
158,Insurance,assurance (couverture financière),new,2.5,0,0,2025-10-26
159,Aware,conscient,new,2.5,0,0,2025-10-26
160,Sensitivity,sensibilité,new,2.5,0,0,2025-10-26
161,Daunting,intimidant,new,2.5,0,0,2025-10-26
162,Clasp,serré / saisir,new,2.5,0,0,2025-10-26
163,Annoyed,agacé,new,2.5,0,0,2025-10-26
164,Compréhensive,comprendre (inclure),new,2.5,0,0,2025-10-26
165,Demand,exiger,new,2.5,0,0,2025-10-26
166,Postponed,reporté,new,2.5,0,0,2025-10-26
167,Carry out,mener a bien,new,2.5,0,0,2025-10-26
168,Suburds,banlieue,new,2.5,0,0,2025-10-26
169,Range,gamme / éventail,new,2.5,0,0,2025-10-26
170,Pivotal role,role centrale,new,2.5,0,0,2025-10-26
171,Economical,économique (resource),new,2.5,0,0,2025-10-26
172,Economics,économie,new,2.5,0,0,2025-10-26
173,Still,encore,new,2.5,0,0,2025-10-26
174,Waste,gaspillage,new,2.5,0,0,2025-10-26
175,Unlikely,peu probable,new,2.5,0,0,2025-10-26
176,Notice période,période de préavis,new,2.5,0,0,2025-10-26
177,Tenants,locataire,new,2.5,0,0,2025-10-26
178,Own,posséder,new,2.3,1,0,2025-10-27
179,Typically,comme a son habitude,new,2.5,0,0,2025-10-26
180,Bikes lanes,pistes cyclable,new,2.5,0,0,2025-10-26
181,Grow,grandir,new,2.5,0,0,2025-10-26
182,Heavy,lourd,new,2.5,0,0,2025-10-26
183,Overweight,obese,new,2.5,0,0,2025-10-26
184,Dismissal,licenciement,new,2.5,0,0,2025-10-26
185,Resignation,démission,new,2.5,0,0,2025-10-26
186,Too late,trop tard,new,2.5,0,0,2025-10-26
187,Seek,chercher,new,2.5,0,0,2025-10-26
188,Noisy,bruyant,new,2.5,0,0,2025-10-26
189,Rather,plutôt,new,2.5,0,0,2025-10-26
190,Supplier,fournisseur,new,2.5,0,0,2025-10-26
191,Loan,un prêt,new,2.5,0,0,2025-10-26
192,Terms and conditions,conditions generals,new,2.5,0,0,2025-10-26
193,Siblings,frères et soeurs,new,2.5,0,0,2025-10-26
194,Issued,publier,new,2.5,0,0,2025-10-26
195,Out sourcing,externalization,new,2.5,0,0,2025-10-26
196,Behind,derrière,new,2.5,0,0,2025-10-26
197,Behind schedule,en retard,new,2.5,0,0,2025-10-26
198,Vacancy,poste vacant,new,2.5,0,0,2025-10-26
199,Disclosure,révélation,new,2.5,0,0,2025-10-26
200,Endeavors,efforts,new,2.5,0,0,2025-10-26
201,Slight,léger,new,2.5,0,0,2025-10-26
202,Enhanced,améliorer,new,2.5,0,0,2025-10-26
203,Advice,conseil,new,2.5,0,0,2025-10-26
204,Rewarding,gratifiant,new,2.5,0,0,2025-10-26
205,In the meantime,en attendant,new,2.5,0,0,2025-10-26
206,Garbage,ordure,new,2.5,0,0,2025-10-26
207,Fill in,remplir,new,2.5,0,0,2025-10-26
208,Contest,concours / tournoi,new,2.5,0,0,2025-10-26
209,String,corde,new,2.5,0,0,2025-10-26
210,Quartet,quatuor,new,2.5,0,0,2025-10-26
211,Runner up,deuxième / vice champion,new,2.5,0,0,2025-10-26
212,Billboard,panneau d’affichage,new,2.5,0,0,2025-10-26
213,Wires,file de fer / file électrique,new,2.5,0,0,2025-10-26
214,Dial tone,tonalité,new,2.5,0,0,2025-10-26
215,Proven,éprouvé,new,2.5,0,0,2025-10-26
216,Struggle,lutte,new,2.5,0,0,2025-10-26
217,Strike,grève,new,2.5,0,0,2025-10-26
218,Workforce,main d’oeuvre,new,2.5,0,0,2025-10-26
219,Rewind,rembobiner,new,2.5,0,0,2025-10-26
220,Stormy,orageux,new,2.5,0,0,2025-10-26
221,Until,jusqu’à,new,2.5,0,0,2025-10-26
222,Fundraising,collecte de fond,new,2.5,0,0,2025-10-26
223,Backdrop,toile de fond,new,2.5,0,0,2025-10-26
224,Wear,porter,new,2.5,0,0,2025-10-26
225,Concerns,préoccupations,new,2.5,0,0,2025-10-26
226,Number,Nombre (comptable),new,2.5,0,0,2025-10-26
227,Filing,classement,new,2.5,0,0,2025-10-26
228,Out standing,en cours,new,2.5,0,0,2025-10-26
229,To forward,transferer,new,2.5,0,0,2025-10-26
230,To back up,sauvegarder,new,2.5,0,0,2025-10-26
231,A bookmarker,un signet,new,2.5,0,0,2025-10-26
232,To spell,épeler,new,2.5,0,0,2025-10-26
233,To guess,deviner,new,2.5,0,0,2025-10-26
234,Produce,produire,new,2.5,0,0,2025-10-26
235,Behalf of,au nom de,new,2.5,0,0,2025-10-26
236,Write off,faire passer au compte de perte de profit,new,2.5,0,0,2025-10-26
237,Unfit,inapte,new,2.5,0,0,2025-10-26
238,Besides,ailleurs,new,2.5,0,0,2025-10-26
239,Helpless,impuissant,new,2.5,0,0,2025-10-26
240,Purpose,but,new,2.5,0,0,2025-10-26
241,Tenancy,location,new,2.5,0,0,2025-10-26
242,Thrown,jeter,new,2.5,0,0,2025-10-26
243,Stolen,voler,new,2.5,0,0,2025-10-26
244,Mind,esprit,new,2.5,0,0,2025-10-26
245,Fair,justice,new,2.5,0,0,2025-10-26
246,Crane,grue,new,2.5,0,0,2025-10-26
247,Threat,menace,new,2.5,0,0,2025-10-26
248,To enroll,s’inscrire,new,2.5,0,0,2025-10-26
249,To dispute,contester,new,2.5,0,0,2025-10-26
250,Layoff,licenciement,new,2.5,0,0,2025-10-26
251,Workload,charge de travel,new,2.5,0,0,2025-10-26
252,To inquire,se renseigner,new,2.5,0,0,2025-10-26
253,Step down,retirer,new,2.5,0,0,2025-10-26
254,Areas,domaines,new,2.5,0,0,2025-10-26
255,A line with,conformément à,new,2.5,0,0,2025-10-26
256,Candid,franc,new,2.5,0,0,2025-10-26
257,Frightened,effrayer,new,2.5,0,0,2025-10-26
258,Flaws,default,new,2.5,0,0,2025-10-26
259,Insofar,dans la mesure,new,2.5,0,0,2025-10-26
260,Whereas,alors que,new,2.5,0,0,2025-10-26
261,Energie efficience,économie d’énergie,new,2.5,0,0,2025-10-26
262,Proud,fière,new,2.5,0,0,2025-10-26
263,Entrance,entrée (physiquement),new,2.5,0,0,2025-10-26
264,Greet,accueillir,new,2.5,0,0,2025-10-26
265,commute,trajet maison-travail,new,2.5,0,0,2025-10-26
266,evening,soiree,new,2.5,0,0,2025-10-26
267,To eat out,manger au resto,new,2.5,0,0,2025-10-26
268,To entertain,divertir,new,2.5,0,0,2025-10-26
269,To go out,Pour sortir,new,2.5,0,0,2025-10-26
270,Some savings,quelques économies,new,2.5,0,0,2025-10-26
271,To volunteer,se porter volontaire,new,2.5,0,0,2025-10-26
272,To stay in,Pour rester dans,new,2.5,0,0,2025-10-26
273,A temp,un intérimaire,new,2.5,0,0,2025-10-26
274,The stationery,la papeterie,new,2.5,0,0,2025-10-26
275,To go bankrupt,faire faillite,new,2.5,0,0,2025-10-26
276,To manufacture,fabriquer,new,2.5,0,0,2025-10-26
277,A plant,une usine,new,2.5,0,0,2025-10-26
278,A subsidiary,une filiale,new,2.5,0,0,2025-10-26
279,A corporation,une société,new,2.5,0,0,2025-10-26
280,A sweatshop,endroit où on exploite la main d’œuvre,new,2.5,0,0,2025-10-26
281,Un shift,un changement,new,2.5,0,0,2025-10-26
282,The raw materials,Les matières premières,new,2.5,0,0,2025-10-26
283,A mill,un moulin,new,2.5,0,0,2025-10-26
284,Automation,automatisation,new,2.5,0,0,2025-10-26
285,Wheter … or,si,new,2.5,0,0,2025-10-26
286,to be summoned for,Être convoqué pour,new,2.5,0,0,2025-10-26
287,To keep going,Pour continuer,new,2.5,0,0,2025-10-26
288,seem,sembler / avoir l’air,new,2.5,0,0,2025-10-26
289,Insofar,dans une telle mesure,new,2.5,0,0,2025-10-26
290,breakdown,panne,new,2.5,0,0,2025-10-26
291,motorway,autoroute,new,2.5,0,0,2025-10-26
292,journey,voyage,new,2.5,0,0,2025-10-26
293,to file for bankruptcy,Déclarer faillite,new,2.5,0,0,2025-10-26
294,headache,mal de tete,new,2.5,0,0,2025-10-26
295,Content,contenu,new,2.5,0,0,2025-10-26
296,Lease,bail,new,2.5,0,0,2025-10-26
297,Cease,cesser,new,2.5,0,0,2025-10-26
298,narrowed,Rétréci,new,2.5,0,0,2025-10-26
299,additionally,En outre (fin de phrase),new,2.5,0,0,2025-10-26
300,Promptly,rapidement,new,2.5,0,0,2025-10-26
301,Fortitude,courage apres douleur,new,2.5,0,0,2025-10-26
302,Bustling,Animé,new,2.5,0,0,2025-10-26
303,Avoid,éviter,new,2.5,0,0,2025-10-26
304,Adverse,Défavorable,new,2.5,0,0,2025-10-26
305,withholding,Retenue,new,2.5,0,0,2025-10-26
306,go through,Passer par,new,2.5,0,0,2025-10-26
307,amenities,aménagements,new,2.5,0,0,2025-10-26
308,enlightening,instructifs,new,2.5,0,0,2025-10-26
309,To stretch,s’étirer,new,2.5,0,0,2025-10-26
310,Hiking,randonné,new,2.5,0,0,2025-10-26
311,A drum,batterie (instrument),new,2.5,0,0,2025-10-26
312,the till,La caisse,new,2.5,0,0,2025-10-26
313,a fitting room,Une cabine d’essayage,new,2.5,0,0,2025-10-26
314,court (sport),terrain parquet (basket),new,2.5,0,0,2025-10-26
315,pitch,terrain synthétique / vert (foot),new,2.5,0,0,2025-10-26
316,Ethos,philosophie,new,2.5,0,0,2025-10-26
317,Widely,Largement,new,2.5,0,0,2025-10-26
318,Enlarge,agrandir,new,2.5,0,0,2025-10-26
319,Glad,content,new,2.5,0,0,2025-10-26
320,Null and void,sans valeur,new,2.5,0,0,2025-10-26
321,Mind,avis,new,2.5,0,0,2025-10-26
322,Timely,ponctuelle,new,2.5,0,0,2025-10-26
323,Address,s’occuper de,new,2.5,0,0,2025-10-26
324,Delve into,fouiller dans,new,2.5,0,0,2025-10-26
325,previously,auparavant,new,2.5,0,0,2025-10-26
326,overcrowded,bondé/ surpeuplé (taille raisonnable),new,2.5,0,0,2025-10-26
327,Sticky,collant,new,2.5,0,0,2025-10-26
328,Likely,probable,new,2.5,0,0,2025-10-26
329,an allowance,une allocation,new,2.5,0,0,2025-10-26
330,bestseller,meilleure vente,new,2.5,0,0,2025-10-26
331,A novel,un roman,new,2.5,0,0,2025-10-26
332,publisher,Editeur,new,2.5,0,0,2025-10-26
333,Skim through,Survoler,new,2.5,0,0,2025-10-26
334,lend,prêter,new,2.5,0,0,2025-10-26
335,some ink,De l’encre,new,2.5,0,0,2025-10-26
336,Some clay,de l’argile,new,2.5,0,0,2025-10-26
337,Entitle,donner un titre a,new,2.5,0,0,2025-10-26
338,Boring,ennuyeux,new,2.5,0,0,2025-10-26
339,Halted,arrêter,new,2.5,0,0,2025-10-26
340,let someone know,faire savoir a quelqu’un,new,2.5,0,0,2025-10-26
341,Snag,"problèmes, pépin",new,2.5,0,0,2025-10-26
342,Pride,fierté,new,2.5,0,0,2025-10-26
343,Lonely,solitaire,new,2.5,0,0,2025-10-26
344,Consists of,se compose de,new,2.5,0,0,2025-10-26
345,Neither... nor…,ni ….. ni,new,2.5,0,0,2025-10-26
346,by the time,Au moment où,new,2.5,0,0,2025-10-26
347,Quite,tout à fait,new,2.5,0,0,2025-10-26
348,Away,extérieur,new,2.5,0,0,2025-10-26
349,numerous,nombreux,new,2.5,0,0,2025-10-26
350,Smooth,lisse,new,2.5,0,0,2025-10-26
351,cutting-edge,de pointe,new,2.5,0,0,2025-10-26
352,Gloves,gants,new,2.5,0,0,2025-10-26
353,a hat,un chapeau,new,2.5,0,0,2025-10-26
354,a ring,une bague,new,2.5,0,0,2025-10-26
355,A skirt,une jupe,new,2.5,0,0,2025-10-26
356,A jumper,un pull,new,2.5,0,0,2025-10-26
357,A tie,une cravate,learning,2.7,6,2,2025-11-01
358,A belt,une ceinture,new,2.5,0,0,2025-10-26
359,Slim,une mince,new,2.5,0,0,2025-10-26
360,handsome,beau,new,2.5,0,0,2025-10-26
361,clever,intelligent,new,2.5,0,0,2025-10-26
362,mean,méchant,new,2.5,0,0,2025-10-26
363,Lazy,Paresseux,new,2.5,0,0,2025-10-26
364,Kind,gentil,new,2.5,0,0,2025-10-26
365,an aunt,ta tante,new,2.5,0,0,2025-10-26
366,a close friend,ami proche,new,2.5,0,0,2025-10-26
367,teenager,Un adolescent,new,2.5,0,0,2025-10-26
368,to crawl,ramper,new,2.5,0,0,2025-10-26
369,a toddler,un enfant de bas age,new,2.5,0,0,2025-10-26
370,retirement,une retraite,new,2.5,0,0,2025-10-26
371,Complain,se plaindre,new,2.5,0,0,2025-10-26
372,Workdays,jours ouvrable,new,2.5,0,0,2025-10-26
373,Hang,accrocher,new,2.5,0,0,2025-10-26
374,Careless,insouciante,new,2.5,0,0,2025-10-26
375,Crying,pleurer,new,2.5,0,0,2025-10-26
376,To lift,soulever,new,2.5,0,0,2025-10-26
377,Straight,droit,new,2.5,0,0,2025-10-26
378,To run into someone,Rencontrer quelqu’un accidentellement,new,2.5,0,0,2025-10-26
379,shame,dommage,new,2.5,0,0,2025-10-26
380,exhausting,épuisant,new,2.5,0,0,2025-10-26
381,Guilty,coupable,new,2.5,0,0,2025-10-26
382,Handling,gérer,new,2.5,0,0,2025-10-26
383,Driveway,Dans l'allée,new,2.5,0,0,2025-10-26
384,Melted,fondue,new,2.5,0,0,2025-10-26
385,The tow truck,La dépanneuse,new,2.5,0,0,2025-10-26
386,Stuck,coincé,new,2.5,0,0,2025-10-26
387,In the ditch,Dans le fossé,new,2.5,0,0,2025-10-26
388,Collapse,s’effondrer,new,2.5,0,0,2025-10-26
389,Relevant,pertinent,new,2.5,0,0,2025-10-26
390,thought-provoking,Qui fait réfléchir,new,2.5,0,0,2025-10-26
391,fireworks,feu d’artifice,new,2.5,0,0,2025-10-26
392,aisle,allée,new,2.5,0,0,2025-10-26
393,unruly,Indiscipliné,new,2.5,0,0,2025-10-26
394,keychain,porte clé,new,2.5,0,0,2025-10-26
395,Sailling,"voile , naviguer",new,2.5,0,0,2025-10-26
396,Crowd,foule,new,2.5,0,0,2025-10-26
397,Shrine,Lieu de pèlerinage,new,2.5,0,0,2025-10-26
398,breathing,Respiration,new,2.5,0,0,2025-10-26
399,Shore,rivage,new,2.5,0,0,2025-10-26
400,the diver,le plongeur,new,2.5,0,0,2025-10-26
401,commitment,engagement,new,2.5,0,0,2025-10-26
402,complaining,Se plaindre,new,2.5,0,0,2025-10-26
403,Then,alors / puis,new,2.5,0,0,2025-10-26
404,Sunburn,coup de soleil,new,2.5,0,0,2025-10-26
405,Shuttle,navette,new,2.5,0,0,2025-10-26
406,Caseload,charge de travail,new,2.5,0,0,2025-10-26
407,Dizzy,étourdi,new,2.5,0,0,2025-10-26
408,Hurry up,Depeche toi,new,2.5,0,0,2025-10-26
409,Enough,assez,new,2.5,0,0,2025-10-26
410,Weakness,Faiblesse,new,2.5,0,0,2025-10-26
411,Rest,repos,new,2.5,0,0,2025-10-26
412,Crowds,Foules,new,2.5,0,0,2025-10-26
413,A realtor,agent immobilier,new,2.5,0,0,2025-10-26
414,quotation,un devis,new,2.5,0,0,2025-10-26
415,windy,venteux,new,2.5,0,0,2025-10-26
416,abroad,a l’étranger,new,2.5,0,0,2025-10-26
417,A flat,un appartement,new,2.5,0,0,2025-10-26
418,it is what it is,C'est la situation et elle doit être acceptée,new,2.5,0,0,2025-10-26
419,to look after,s’occuper,new,2.5,0,0,2025-10-26
420,Away,a l’extérieur,new,2.5,0,0,2025-10-26
421,A band,group,new,2.5,0,0,2025-10-26
422,The canned goods,Les conserves,new,2.5,0,0,2025-10-26
423,Contentious,Controversé,new,2.5,0,0,2025-10-26
424,Fail + to,Échouer,new,2.5,0,0,2025-10-26
425,raw,cru,new,2.5,0,0,2025-10-26
426,elsewhere,ailleurs,new,2.5,0,0,2025-10-26
427,Cab,taxi,new,2.5,0,0,2025-10-26
428,Perks,Avantage,new,2.5,0,0,2025-10-26
429,Compliant,conforme,new,2.5,0,0,2025-10-26
430,painkillers,analgiques,new,2.5,0,0,2025-10-26
431,Incurred,encouru,new,2.5,0,0,2025-10-26
432,lawnmower,Tondeuse (à gazon),new,2.5,0,0,2025-10-26
433,his shoulder,Son épaule,new,2.5,0,0,2025-10-26
434,soaking up,S’imprégner,new,2.5,0,0,2025-10-26
435,lit up,illuminé,new,2.5,0,0,2025-10-26
436,A stroll,Une promenade,new,2.5,0,0,2025-10-26
437,overflowing,Débordant,new,2.5,0,0,2025-10-26
438,pulling out,sort,new,2.5,0,0,2025-10-26
439,Figures,chiffres,new,2.5,0,0,2025-10-26
440,Pain,douleur,new,2.5,0,0,2025-10-26
441,waiver,renonciation,new,2.5,0,0,2025-10-26
442,call on,faire appel / demander,new,2.5,0,0,2025-10-26
443,call out,Crier,new,2.5,0,0,2025-10-26
444,To participate in,Pour participer à,new,2.5,0,0,2025-10-26
445,To take over,Pour prendre le relais,new,2.5,0,0,2025-10-26
446,a sharp,pointu,new,2.5,0,0,2025-10-26
447,Tense,tendu,new,2.5,0,0,2025-10-26
448,Shame,la honte,new,2.5,0,0,2025-10-26
449,An argument,se disputer,new,2.5,0,0,2025-10-26
450,summoned,convoqué,new,2.5,0,0,2025-10-26
451,the counter,Le comptoir,new,2.5,0,0,2025-10-26
452,Rubber,caoutchouc,new,2.5,0,0,2025-10-26
453,ropes,cordes,new,2.5,0,0,2025-10-26
454,Formally,officiellement,new,2.5,0,0,2025-10-26
455,Workshops,ateliers,new,2.5,0,0,2025-10-26
456,upcoming,prochaine,new,2.5,0,0,2025-10-26
457,Overdue,en retard,new,2.5,0,0,2025-10-26
458,Oil spill,marée noir,new,2.5,0,0,2025-10-26
459,Happening,événement,new,2.5,0,0,2025-10-26
460,Upset,contrarie,new,2.5,0,0,2025-10-26
461,The track,la piste,new,2.5,0,0,2025-10-26
462,bulk orders,Commandes en gros,new,2.5,0,0,2025-10-26
463,Tight budget,Budget serré,new,2.5,0,0,2025-10-26
464,Brain,cerveau,new,2.5,0,0,2025-10-26
465,Bustling with,animé avec,new,2.5,0,0,2025-10-26
466,As soon as,dès que,new,2.5,0,0,2025-10-26
467,to soak up,absorber,new,2.5,0,0,2025-10-26
468,Plain-clothes,vêtement simple,new,2.5,0,0,2025-10-26
469,compulsory,obligatoire,new,2.5,0,0,2025-10-26
470,Faithful,fidèle,new,2.5,0,0,2025-10-26
471,the grass,l’herbe,new,2.5,0,0,2025-10-26
472,keyboard shortcut,Raccourci clavier,new,2.5,0,0,2025-10-26
